"basin","wiki"
64170,Irwin River
16637,Kymi (river)
16633,Vantaa (river)
15627,Eura (river)
11859,Oulujoki
11282,Iijoki
10698,Kemijoki
24439,Moose River (Ontario)
24441,Harricana River
24443,Nottaway River
66732,Chico River (Gallegos)
20303,Kamchatka River
22218,Weser
23134,Vechte
22677,Ems (river)
58596,Lúrio River
58921,Mocubúri River
59259,Monapo River
40792,Brazos River
40791,Colorado River (Texas)
41100,Guadalupe River (Texas)
40155,Trinity River (Texas)
40157,Sabine River (Texas–Louisiana)
35599,Salinas River (California)
39451,de:Río Magdalena (Sonora)
44858,Grande de Santiago River
44588,Pánuco River
43752,Soto La Marina River
43197,San Fernando River
41414,Nueces River
46884,Balsas River
40167,Apalachicola River
38559,Savannah River
37942,Pee Dee River
34342,Potomac River
32940,Hudson River
34003,Susquehanna River
33655,Delaware River
36358,Roanoke River
35348,James River
32576,Connecticut River
22642,Churchill River (Atlantic)
22152,La Grande River
19993,Severn River (northern Ontario)
23059,Attawapiskat River
61414,Mangoky River
60867,Tsiribihina River
60693,Manambolo River
59437,Betsiboka River
59261,Sofia River
62349,Onilahy River
64168,Tugela River
63856,Umfolozi River
64015,Mhlatuze River
64320,Umgeni River
65173,Great Kei River
64882,Olifants River (Western Cape)
65498,Gourits River
65383,Diep River
65153,Berg River
65288,Great Fish River
48539,Penna River
49855,Kaveri
49101,Palar River
49464,Ponnaiyar River
49847,Bharathappuzha
49646,Chaliyar AND Kadalundi River
50662,Thamirabarani River
47939,Gundlakamma River
48926,Chao Phraya River
47308,Sittaung River
42585,Min River (Fujian)
44282,Han River (Guangdong)
10139,Mezen River
11878,Kem River
12447,Vyg River
12425,Kalajoki (river)
12426,Pyhäjoki (river)
12981,Perhonjoki
13524,Kyrönjoki
12980,fi:Lapuanjoki
16628,Aura (Archipelago Sea)
10699,Simojoki
9516,Kovda River
6227,Näätämö (river)
5782,Jakobselva (Vadsø)
6232,Titovka River
10194,Nadym River
4815,Khroma River
5130,Omoloy River
5976,Chukochya River
7514,Palyavaam River
7513,Chaun River
18635,Tigil River
17771,Okhota River
18215,Ulya River
21571,Uda River (Khabarovsk Krai)
24334,Tym River, Sakhalin
26514,Poronay River
31392,Ishikari River
26466,Kherlen River
34571,Taedong River
40108,Cao'e River
47761,Agno River
46882,Cagayan River
47111,Abra River
54600,Musi River (Indonesia)
53824,Indragiri River
54203,Batang Hari River
53827,Kapuas River
55025,Barito River
52801,Kayan River
65931,Waikato River
66504,Waitaki River
66602,Mataura River
66575,Waiau River (Southland)
66443,Rakaia River
61370,Ugab River
60997,Uniab River
59202,Bero River
58231,Catumbela River
58386,Coporolo River
57292,Cuanza River
57103,Bengo River
56897,Dande River AND others
62128,Kuiseb River
61752,Omaruru River
32048,Ruo Shui
29378,Ongi River
28426,Southern Bug
33343,Haliacmon
33697,Pineios (Thessaly)
30015,Po (river)
31897,Muga (river)
32254,Tiber
35054,Büyük Menderes River
34386,Gediz River
32641,Sakarya River
32289,Kızılırmak River
32653,Yeşilırmak River
33353,Nilüfer River
33352,Simav River
29656,Kuban River
30073,Kuma River (Russia)
19220,Emån
16123,Dalälven
17514,Glomma
54445,Mamberamo River
56594,Digul
56796,Purari River
56794,Kikori River
